Player,Seasons,Rating,ANYA,NYA,Completion,TD,TD_per_Game,QB_Score
Cam Newton,10,85.48318129988597,5.893865421354278,6.235618764593505,60.022805017103764,194,1.3287671232876712,74.56007594012831
Alex Smith,13,88.01333333333332,5.83730378578024,5.982271468144044,63.12,197,1.1796407185628743,74.5580284055607
Steve McNair,6,86.1653908138598,6.0947812739831155,6.41327705295472,61.68412570507655,107,1.2891566265060241,74.47670472840343
Ryan Fitzpatrick,13,82.96020532628582,5.72278748320215,6.272797081973508,60.8457003455987,219,1.3773584905660377,74.28824031645908
Marc Bulger,7,86.31474519632415,5.826578073089701,6.25514950166113,62.585034013605444,111,1.3214285714285714,73.73293795425468
Jeff Garcia,7,85.75338444536538,5.994085173501578,6.187302839116719,61.12722751761293,106,1.2926829268292683,73.46739697895534
Joe Flacco,12,84.12915823780625,5.647432840565887,5.962962962962963,61.86783546864464,218,1.2748538011695907,73.4591124910243
Tyrod Taylor,5,90.58908045977012,6.06453488372093,5.983139534883721,62.64367816091954,61,1.0,72.75599137713094
Colin Kaepernick,5,88.91399920964237,6.0635091496232505,6.015069967707212,59.75103734439834,72,1.0909090909090908,72.35282573814776
Nick Foles,6,85.55361128017854,5.8860103626943,6.0616004605641916,60.80340839926963,68,1.2363636363636363,71.86455273186658
Jake Delhomme,6,81.60004516711834,5.784040995607613,6.413616398243045,59.039876113046844,112,1.2727272727272727,71.80584294794316
Case Keenum,7,85.96596356663473,5.85643115942029,6.105525362318841,62.607861936720994,76,1.0555555555555556,71.70671199671037
Mitchell Trubisky,5,86.60477139062796,5.622671633847792,5.904736562001064,64.14342629482071,68,1.1724137931034482,71.41140150299398
Matt Hasselbeck,12,81.17793081358104,5.4650419496604075,6.004394726328406,60.217809096732864,180,1.1688311688311688,70.78712973666312
Brian Griese,5,84.85975040821087,5.2717250324254215,6.020752269779507,65.01049685094472,66,1.2941176470588236,70.78558866334266
Sam Bradford,6,84.51857712142522,5.5344998349290195,5.734235721360185,62.34177215189873,98,1.2564102564102564,70.74383979699583
Jake Plummer,6,79.65783352194138,5.70556552962298,6.2459605026929985,57.789513391173145,107,1.1758241758241759,69.96283826009856
David Garrard,5,84.0543994158452,5.602232369355657,6.018264840182648,61.77437020810515,67,1.046875,69.87820553223015
Blake Bortles,5,80.61360182370822,5.3671736823487795,5.832331093031482,59.308510638297875,103,1.3733333333333333,69.38546847668411
Josh McCown,7,83.64723288547664,5.438464931627702,5.833259814733127,61.27639155470249,79,1.1126760563380282,69.25108330823444
Kyle Orton,6,81.06038506417737,5.502194586686174,5.87710314557425,59.43212757681836,95,1.1875,69.10649285018556
Jason Campbell,7,82.6488952929875,5.518385650224215,5.834529147982063,60.422670509125844,75,1.0273972602739727,68.64481491093836
Kerry Collins,8,77.20486111111113,5.48954749933845,6.035988356708124,57.166666666666664,124,1.158878504672897,68.32085471696027
Michael Vick,10,80.70139346061005,5.517241379310345,5.895052473763118,56.31994733377222,126,1.0413223140495869,68.3003068388111
Daniel Jones,5,85.1798245614035,5.1952861952861955,5.4646464646464645,64.26315789473684,62,1.0333333333333334,68.11745065637068
Mark Brunell,5,82.63134057971014,5.442317380352645,5.603526448362721,58.47826086956522,74,1.1384615384615384,67.95910727836817
Aaron Brooks,6,78.02380522450945,5.285045165607227,5.816995650719304,56.33802816901409,114,1.3411764705882352,67.85351442071672
Matt Cassel,7,79.84250236838545,5.290298225745564,5.771611929029823,58.99309784815266,96,1.170731707317073,67.76296678283181
Jon Kitna,5,78.07810825294749,5.034612490594432,5.822799097065463,60.77170418006431,91,1.2638888888888888,67.33412538917595
Brad Johnson,6,80.93458106789348,5.255914826498422,5.693611987381703,61.480552070263485,84,0.9230769230769231,67.03147115299966
Drew Bledsoe,5,79.49351978171896,5.090266222961731,5.655990016638935,58.890404729422464,85,1.2142857142857142,66.7818838416701
Sam Darnold,6,78.33954537088165,5.016326530612245,5.659183673469387,59.74599668691331,63,0.9545454545454546,64.96785583726191
Mark Sanchez,5,74.06173406862746,4.981075268817205,5.8240860215053765,56.341911764705884,82,1.1549295774647887,64.59476591137427
Seneca Wallace,5,80.96284575714957,5.235526315789474,5.446052631578947,59.07172995780591,28,0.6222222222222222,63.69431453022379
David Carr,6,75.77964019654462,4.423959218351742,5.156754460492778,60.10461245839277,60,0.7317073170731707,60.48211664176516
Blaine Gabbert,5,73.99716369529983,4.508601346297682,5.0545998504113685,56.88816855753647,40,0.851063829787234,59.58899363963662
Joey Harrington,5,68.13736681887367,4.327344434706398,5.214723926380368,55.205479452054796,72,1.0434782608695652,58.918628733432435
